hit_file_format_version,corpus_id,video_id,predicate_token_id,roleset,predicate_lemma,predicate_progressive,argnum,sentences_and_args_as_json,sampling_method
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524314.jpg,"(0,0)",,to be on the street,b,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is on the street</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262260.jpg,"(0,0)",,to appear,a,The birds,"{'argument_phrase': 'The birds', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The birds</span><span class=\\\\\\""predicate\\\\\\"">are only appearing as black silhouettes</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000131208.jpg,"(0,0)",,to be,T,clothes on the bed,"{'argument_phrase': 'clothes on the bed', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">clothes on the bed</span><span class=\\\\\\""predicate\\\\\\"">are on the bed</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524486.jpg,"(0,0)",,to cook,c,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is cooking</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000000036.jpg,"(0,0)",,to hold,h,The girl,"{'argument_phrase': 'The girl', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The girl</span><span class=\\\\\\""predicate\\\\\\"">is holding an umbrella</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000039288.jpg,"(0,0)",,to like,l,Someone,"{'argument_phrase': 'Someone', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">Someone</span><span class=\\\\\\""predicate\\\\\\"">would not like the fruit at the front</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524520.jpg,"(0,0)",,to be on,b,The top light,"{'argument_phrase': 'The top light', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The top light</span><span class=\\\\\\""predicate\\\\\\"">is on</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524547.jpg,"(0,0)",,to be in mid-air,b,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is in mid-air</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000000061.jpg,"(0,0)",,to be on,b,The people,"{'argument_phrase': 'The people', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The people</span><span class=\\\\\\""predicate\\\\\\"">are on the elephants</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524661.jpg,"(0,0)",,to be brown,b,Some of the leaves,"{'argument_phrase': 'Some of the leaves', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">Some of the leaves</span><span class=\\\\\\""predicate\\\\\\"">are brown</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000157125.jpg,"(0,0)",,to be on their cell phones,b,These people,"{'argument_phrase': 'These people', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">These people</span><span class=\\\\\\""predicate\\\\\\"">are on their cell phones</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262705.jpg,"(0,0)",,to be dark,b,It,"{'argument_phrase': 'It', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">It</span><span class=\\\\\\""predicate\\\\\\"">is dark</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262705.jpg,"(0,0)",,to be blurry,b,This photograph,"{'argument_phrase': 'This photograph', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">This photograph</span><span class=\\\\\\""predicate\\\\\\"">is blurry</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262705.jpg,"(0,0)",,to be happy,b,The child,"{'argument_phrase': 'The child', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The child</span><span class=\\\\\\""predicate\\\\\\"">is happy</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524925.jpg,"(0,0)",,to be on the runway,b,stripes,"{'argument_phrase': 'stripes', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">stripes</span><span class=\\\\\\""predicate\\\\\\"">are on the runway</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000000673.jpg,"(0,0)",,to be upside down,b,All of the surfboards,"{'argument_phrase': 'All of the surfboards', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">All of the surfboards</span><span class=\\\\\\""predicate\\\\\\"">are upside down</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000393922.jpg,"(0,0)",,to say,s,The sign,"{'argument_phrase': 'The sign', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The sign</span><span class=\\\\\\""predicate\\\\\\"">says SLOW</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000480717.jpg,"(0,0)",,to be,b,The police,"{'argument_phrase': 'The police', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The police</span><span class=\\\\\\""predicate\\\\\\"">are there</span>'}",it-happened
