hit_file_format_version,corpus_id,sentence_id,predicate_token_id,roleset,predicate_lemma,predicate_progressive,argnum,sentences_and_args_as_json,sampling_method
2.0.0,VQA,524314000,"(2, 5)",,to be on the street,being on the street,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is on the street</span>'}",it-happened
2.0.0,VQA,262260000,"(2, 7)",,to appear,appearing,The birds,"{'argument_phrase': 'The birds', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The birds</span><span class=\\\\\\""predicate\\\\\\"">are appearing as black silhouettes</span>'}",it-happened
2.0.0,VQA,131208000,"(1, 7)",,to be on the bed,being on the bed,clothes,"{'argument_phrase': 'clothes', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">clothes</span><span class=\\\\\\""predicate\\\\\\"">are on the bed</span>'}",it-happened
2.0.0,VQA,524486002,"(2, 3)",,to cook,cooking,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is cooking</span>'}",it-happened
2.0.0,VQA,36002,"(2, 5)",,to hold an umbrella,holding an umbrella,The girl,"{'argument_phrase': 'The girl', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The girl</span><span class=\\\\\\""predicate\\\\\\"">is holding an umbrella</span>'}",it-happened
2.0.0,VQA,39288002,"(1, 3)",,to not like,not liking,Someone,"{'argument_phrase': 'Someone', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">Someone</span><span class=\\\\\\""predicate\\\\\\"">does not like</span>'}",it-happened
2.0.0,VQA,524520002,"(3, 4)",,to be on,being on,top light,"{'argument_phrase': 'top light', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">top light</span><span class=\\\\\\""predicate\\\\\\"">is on</span>'}",it-happened
2.0.0,VQA,524547000,"(2, 4)",,to be in mid-air,being in mid-air,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is in mid-air</span>'}",it-happened
2.0.0,VQA,61001,"(2, 5)",,to be on the elephant,being on the elephant,The people,"{'argument_phrase': 'The people', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The people</span><span class=\\\\\\""predicate\\\\\\"">are on the elephants</span>'}",it-happened
2.0.0,VQA,524661005,"(4, 5)",,to be brown,being brown,Some of the leaves,"{'argument_phrase': 'Some of the leaves', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">Some of the leaves</span><span class=\\\\\\""predicate\\\\\\"">are brown</span>'}",it-happened
2.0.0,VQA,157125001,"(2, 6)",,to be on one's cell phone,being on one's cell phone,These people,"{'argument_phrase': 'These people', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">These people</span><span class=\\\\\\""predicate\\\\\\"">are on their cell phones</span>'}",it-happened
2.0.0,VQA,262705000,"(1, 2)",,to be dark,being dark,It,"{'argument_phrase': 'It', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">It</span><span class=\\\\\\""predicate\\\\\\"">is dark</span>'}",it-happened
2.0.0,VQA,262705005,"(2, 3)",,to be blurry,being blurry,This photograph,"{'argument_phrase': 'This photograph', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">This photograph</span><span class=\\\\\\""predicate\\\\\\"">is blurry</span>'}",it-happened
2.0.0,VQA,262705007,"(2, 3)",,to be happy,being happy,The child,"{'argument_phrase': 'The child', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The child</span><span class=\\\\\\""predicate\\\\\\"">is happy</span>'}",it-happened
2.0.0,VQA,524925003,"(1, 2)",,to stripe,striping,stripes on the runway,"{'argument_phrase': 'stripes on the runway', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">stripes on the runway</span><span class=\\\\\\""predicate\\\\\\"">are stripes</span>'}",it-happened
2.0.0,VQA,673000,"(4, 6)",,to be upside down,being upside down,All of the surfboards,"{'argument_phrase': 'All of the surfboards', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">All of the surfboards</span><span class=\\\\\\""predicate\\\\\\"">are upside down</span>'}",it-happened
2.0.0,VQA,393922005,"(2, 3)",,to say,saying,sign,"{'argument_phrase': 'sign', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">sign</span><span class=\\\\\\""predicate\\\\\\"">says SLOW</span>'}",it-happened
